"page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","takeout_rate","creditcard_rate","rate","numberrate","reservation_rate","delivery_rate","yelp_rating"
19,"Bambara Cambridge","American (New)","25 Edwin H Land Blvd Cambridge, MA 02141",43,54,50,27,15,"6:30 am - 2:00 pm 5:30 pm - 10:00 pm","6:30 am - 2:00 pm 5:30 pm - 10:00 pm","6:30 am - 2:00 pm 5:30 pm - 10:00 pm","6:30 am - 2:00 pm 5:30 pm - 10:00 pm","6:30 am - 2:00 pm 5:30 pm - 11:00 pm","8:00 am - 2:00 pm 5:30 pm - 11:00 pm","8:00 am - 2:00 pm 5:30 pm - 10:00 pm",1,1,0,1,1,1,1,3.43915343915344,189,1,0,3.5
19,"All Star Pizza Bar","Pizza","1238 Cambridge St Cambridge, MA 02139",45,45,19,10,3,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,1,0,1,0,1,1,3.97540983606557,122,0,0,4
19,"ZoeÍs","Greek","1105 Massachusetts Ave Cambridge, MA 02138",49,142,88,41,22,"7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","8:00 am - 3:00 pm",0,0,0,1,0,1,1,3.45321637426901,342,0,0,3.5
19,"Shays Pub & Wine Bar","American (Traditional)","58 JFK St Cambridge, MA 02138",48,113,30,9,3,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","12:00 pm - 1:00 am",0,1,0,1,1,0,1,3.95566502463054,203,0,0,4
19,"John HarvardÍs Brewery & Ale House","Breweries","33 Dunster St Cambridge, MA 02138",39,142,182,87,56,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 11:00 pm",0,1,0,1,0,0,1,3.04150197628458,506,1,0,3
19,"Naco Taco","Mexican","297 Massachusetts Ave Cambridge, MA 02139",52,39,42,51,22,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 12:00 am","11:30 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 11:00 pm",0,1,0,1,1,1,1,3.23300970873786,206,0,0,3
19,"OggiGourmet","Pizza","1350 Massachusetts Ave Cambridge, MA 02138",61,64,16,8,15,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","12:00 pm - 7:00 pm","12:00 pm - 7:00 pm",1,1,0,0,0,1,1,3.90243902439024,164,0,1,4
19,"Amelias Trattoria","Italian","111 Harvard St Cambridge, MA 02139",36,50,28,13,14,"11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 11:00 pm","5:00 pm - 11:00 pm","Closed",1,1,0,1,0,1,0,3.57446808510638,141,0,1,3.5
19,"Beat Brasserie","American (New)","13 Brattle St Cambridge, MA 02138",115,152,73,57,64,"4:00 pm - 12:00 am","4:00 pm - 12:00 am","4:00 pm - 12:00 am","4:00 pm - 1:00 am","4:00 pm - 2:00 am","10:00 am - 2:00 am","10:00 am - 12:00 am",1,1,1,1,0,1,1,3.42733188720174,461,1,0,3.5
19,"Pepper SkyÍs Thai Sensation","Thai","20 Pearl St Cambridge, MA 02139",53,112,93,33,25,"11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","12:00 pm - 9:30 pm","5:00 pm - 9:30 pm",0,1,0,0,0,1,1,3.42721518987342,316,1,1,3.5
