"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"231",24,"Tarboosh","Pizza","2 Brighton Ave Boston, MA 02134",33,1,1,2,1,"null","null","null","null","null","null","null",0,1,0,0,0,0,1,1,1,4.65789473684211,38,0.916116736842105
"232",24,"The Pour House","Bars","907 Boylston St Boston, MA 02115",165,378,214,74,50,"8:00 am - 2:00 am","8:00 am - 2:00 am","8:00 am - 2:00 am","8:00 am - 2:00 am","8:00 am - 2:00 am","8:00 am - 2:00 am","8:00 am - 2:00 am",0,1,1,1,0,0,0,1,1,3.6061293984109,881,-0.135648601589103
"233",24,"Chicken LouÕs","Fast Food","50 Forsyth St Boston, MA 02115",37,28,19,5,4,"6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 9:00 pm","6:30 am - 7:00 pm","9:00 am - 4:00 pm","Closed",0,0,0,0,1,0,0,1,1,3.95698924731183,93,0.215211247311828
"234",24,"Seoul","Korean","156 Cambridge St Boston, MA 02114",42,45,33,13,11,"11:30 am - 10:30 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","12:30 pm - 11:00 pm","12:30 pm - 10:30 pm",0,1,0,1,0,1,1,1,1,3.65277777777778,144,-0.0890002222222224
"235",24,"State Street Provisions","American (New)","255 State Street Long Wharf Boston, MA 02109",28,16,4,3,2,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","10:00 am - 2:00 am","10:00 am - 1:00 am",1,1,0,1,1,1,0,1,1,4.22641509433962,53,0.484637094339623
"236",24,"Tremont 647","Bars","647 Tremont St Boston, MA 02118",163,234,125,79,29,"5:30 pm - 10:00 pm","4:00 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:00 pm",1,0,0,1,1,1,0,1,1,3.67142857142857,630,-0.0703494285714288
"237",24,"AKÕs Takeout & Delivery","Pizza","309 D St Boston, MA 02127",34,35,13,11,8,"10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm",0,1,0,0,0,0,1,1,1,3.75247524752475,101,0.0106972475247522
"238",24,"The Boston Sail Loft","Bars","80 Atlantic Ave Boston, MA 02110",73,109,52,24,16,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:00 am - 2:00 am",1,1,0,1,0,1,0,1,1,3.72627737226277,274,-0.0155006277372265
"239",24,"PellinoÕs Ristorante","Bars","2 Prince St Boston, MA 02109",59,47,20,11,14,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,1,0,1,0,1,1,3.83443708609272,151,0.092659086092715
"240",24,"Shabu-Zen","Hot Pot","16 Tyler St Boston, MA 02111",267,257,91,20,27,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 12:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 12:00 am",0,1,0,1,0,1,0,0,1,4.08308157099698,662,0.341303570996979
"241",25,"Bon Me","Vietnamese","185 Kneeland St Boston, MA 02111",15,10,6,3,1,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4,35,0.258222
"242",25,"Doughboy Donuts & Deli","Donuts","220 Dorchester Ave Boston, MA 02127",38,38,14,5,3,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",0,0,0,0,0,0,1,1,1,4.05102040816327,98,0.309242408163265
"243",25,"StephiÕs on Tremont","Modern American","571 Tremont St Boston, MA 02118",91,140,67,40,36,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","10:00 am - 1:00 am","10:00 am - 11:00 pm",1,1,0,1,1,1,0,1,1,3.56149732620321,374,-0.180280673796791
"244",25,"El Triunfo","Mexican","147 E Berkeley St Boston, MA 02118",50,75,40,16,19,"11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 3:30 am","11:00 am - 3:30 am","11:00 am - 3:30 am","11:00 am - 3:30 am","11:00 am - 3:30 am",0,0,0,0,0,0,1,1,1,3.605,200,-0.136778
"245",25,"AlÕs State Street Cafe","Sandwiches","110 State St Boston, MA 02109",192,125,31,14,7,"10:30 am - 6:00 pm","10:30 am - 6:00 pm","10:30 am - 6:00 pm","10:30 am - 6:00 pm","10:30 am - 6:00 pm","10:30 am - 4:00 pm","Closed",0,0,1,0,0,0,0,1,1,4.30352303523035,369,0.561745035230352
"246",25,"Regina Pizza","Pizza","11 Thacher St Boston, MA 02113",590,327,123,60,50,"11:00 am - 11:30 pm","11:00 am - 11:30 pm","11:00 am - 11:30 pm","11:00 am - 11:30 pm","11:00 am - 12:30 am","11:00 am - 12:30 am","11:00 am - 11:30 pm",0,1,1,1,0,0,1,1,1,4.17130434782609,1150,0.429526347826087
"247",25,"Shake Shack","Burgers","234 Newbury St Boston, MA 02116",41,63,29,17,8,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm",1,1,0,1,1,0,0,1,1,3.70886075949367,158,-0.0329172405063294
"248",25,"VictoriaÕs Diner","Diners","1024 Massachusetts Ave Boston, MA 02118",84,106,50,23,43,"6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 10:00 pm","6:00 am - 5:30 am","6:00 am - 5:30 am","6:00 am - 5:30 am","6:00 am - 10:00 pm",0,1,0,1,0,0,1,1,1,3.53921568627451,306,-0.20256231372549
"249",25,"SullivanÕs","Fast Food","2080 Day Blvd Boston, MA 02127",85,72,21,9,7,"8:30 am - 7:00 pm","8:30 am - 7:00 pm","8:30 am - 7:00 pm","8:30 am - 7:00 pm","8:30 am - 7:00 pm","8:30 am - 7:00 pm","8:30 am - 7:00 pm",0,0,0,0,1,0,0,1,1,4.12886597938144,194,0.387087979381444
"250",25,"Pho VietÕs","Vietnamese","1095 Commonwealth Ave Boston, MA 02228",133,136,34,11,11,"11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 9:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 9:00 pm",0,0,1,0,0,0,0,1,1,4.13538461538462,325,0.393606615384615
"251",26,"PedroÕs Tacos","Mexican","55 Bromfield St Boston, MA 02108",89,55,28,17,6,"8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","Closed","Closed",0,1,0,0,0,0,0,1,1,4.04615384615385,195,0.304375846153846
"252",26,"Yada Yada","Greek","34 Farnsworth St Boston, MA 02210",23,21,10,3,2,"7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","Closed","Closed",0,1,0,0,0,0,0,1,1,4.01694915254237,59,0.275171152542373
"253",26,"Rigoletto Ristorante","Italian","115 Salem St Boston, MA 02113",53,13,8,4,8,"12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","24","",0,1,0,1,0,1,0,1,1,4.15116279069767,86,0.409384790697675
"254",26,"Harvard Gardens","Bars","316 Cambridge St Boston, MA 02114",48,133,66,26,20,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:00 am - 2:00 am","10:00 am - 2:00 am",1,1,0,1,0,1,0,1,1,3.55631399317406,293,-0.185464006825939
"255",26,"My CousinÕs Place","Cafe","396 Hanover St Boston, MA 02113",33,10,2,2,4,"7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 6:00 pm",0,1,1,0,0,0,0,1,1,4.29411764705882,51,0.552339647058823
"256",26,"BogieÕs Place","Bars","25 Temple Pl Boston, MA 02111",30,4,5,1,4,"5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm",0,0,0,1,0,1,0,0,1,4.25,44,0.508222
"257",26,"Scampo","Italian","The Liberty Hotel 215 Charles St Boston, MA 02114",124,147,55,29,14,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,1,0,1,1,1,0,1,1,3.9159891598916,369,0.174211159891599
"258",26,"Papagayo","Mexican","283 Summer Street Boston, MA 02210",87,185,105,61,29,"12:00 pm - 2:00 pm 5:00 pm - 9:00 pm","12:00 pm - 2:00 pm 5:00 pm - 9:00 pm","12:00 pm - 2:00 pm 5:00 pm - 10:00 pm","12:00 pm - 2:00 pm 5:00 pm - 10:00 pm","12:00 pm - 2:00 pm 5:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm",0,1,1,1,0,1,0,1,1,3.51391862955032,467,-0.227859370449679
"259",26,"Holly Crab","Seafood","1098 Commonwealth Ave Boston, MA 02134",52,29,13,10,3,"5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 10:00 pm",0,1,0,0,0,1,0,1,1,4.09345794392523,107,0.351679943925234
"260",26,"AlÕs South Street Cafe","Sandwiches","179 Essex St Boston, MA 02111",74,58,6,8,6,"10:30 am - 3:00 pm","10:30 am - 3:00 pm","10:30 am - 3:00 pm","10:30 am - 3:00 pm","10:30 am - 3:00 pm","Closed","Closed",1,1,1,0,1,0,1,1,1,4.22368421052632,152,0.481906210526316
"261",27,"Cafe G","Modern American","Isabella Stewart Gardner Museum 25 Evans Way Boston, MA 02115",20,27,9,2,3,"11:00 am - 5:00 pm","Closed","11:00 am - 5:00 pm","11:00 am - 9:00 pm","11:00 am - 5:00 pm","11:00 am - 5:00 pm","11:00 am - 5:00 pm",1,0,0,1,1,1,0,0,1,3.9672131147541,61,0.225435114754098
"262",27,"DÕGuru Restaurant","Indian","187 Devonshire St Boston, MA 02110",31,32,16,13,4,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,3.76041666666667,96,0.0186386666666665
"263",27,"Bon Me","Food Trucks","220 Clarendon St Boston, MA 02116",9,5,1,1,0,"Closed","Closed","Closed","Closed","Closed","3:00 pm - 8:00 pm","11:00 am - 3:00 pm",0,0,0,0,0,0,0,1,1,4.375,16,0.633222
"264",27,"Tiger Mama","Thai","1363 Boylston St Boston, MA 02215",41,39,29,26,7,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,0,0,1,0,1,0,0,1,3.57042253521127,142,-0.171355464788733
"265",27,"B & G Oysters","Seafood","550 Tremont St Boston, MA 02116",266,276,123,54,26,"11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 10:00 pm",0,0,0,1,1,1,0,0,1,3.94228187919463,745,0.200503879194631
"266",27,"Dumpling Cafe","Taiwanese","695 Washington St Boston, MA 02111",105,183,84,53,76,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",0,0,0,1,0,0,0,1,1,3.375249500998,501,-0.366528499001996
"267",27,"OTTO Pizza","Pizza","888 Commonwealth Ave Boston, MA 02215",52,47,16,15,15,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 3:00 am","11:30 am - 3:00 am","11:30 am - 12:00 am",1,1,0,1,1,0,1,1,1,3.73103448275862,145,-0.0107435172413792
"268",27,"Sportello","Italian","348 Congress St Boston, MA 02210",211,251,87,42,13,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,0,0,1,0,1,0,1,1,4.00165562913907,604,0.259877629139073
"269",27,"ZC Boston","Sushi Bars","801 Massachusetts Ave Boston, MA 02118",16,11,4,2,4,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",1,1,0,1,0,1,1,1,1,3.89189189189189,37,0.150113891891892
"270",27,"BillyÕs Sub Shop","Diners","57 Berkeley St Boston, MA 02116",52,42,9,5,2,"6:00 am - 4:00 pm","6:00 am - 4:00 pm","6:00 am - 4:00 pm","6:00 am - 4:00 pm","6:00 am - 4:00 pm","7:00 am - 4:00 pm","8:00 am - 2:00 pm",0,0,0,0,1,0,0,1,0,4.24545454545455,110,0.503676545454545
"271",28,"LuckyÕs Lounge","Lounges","355 Congress St Boston, MA 02210",125,230,106,33,34,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","10:00 am - 2:00 am","10:00 am - 2:00 am",1,1,0,1,0,1,0,1,1,3.71780303030303,528,-0.0239749696969698
"272",28,"Aria Trattoria","Italian","253 Hanover St Boston, MA 02113",36,17,4,7,1,"5:00 pm - 12:00 pm","5:00 pm - 12:00 pm","5:00 pm - 12:00 pm","5:00 pm - 12:00 pm","5:00 pm - 12:30 pm","5:00 pm - 12:30 pm","5:00 pm - 12:00 pm",0,1,0,1,0,1,0,0,1,4.23076923076923,65,0.488991230769231
"273",28,"Battery Park Bar & Lounge","Traditional American","33 Batterymarch St Boston, MA 02110",49,66,26,20,8,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",1,1,0,1,1,1,1,1,1,3.75739644970414,169,0.0156184497041418
"274",28,"Flour Bakery + Caf_","Modern American","131 Clarendon St Boston, MA 02116",213,229,73,21,10,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","8:00 am - 6:00 pm","9:00 am - 5:00 pm",1,0,0,0,0,0,0,1,1,4.12454212454212,546,0.382764124542124
"275",28,"Tavern In The Square","Sports Bars","120 Beverly St Boston, MA 02114",23,26,9,3,8,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:00 am",1,1,1,1,1,1,0,1,1,3.76811594202899,69,0.0263379420289853
"276",28,"Hot Eastern","Szechuan","42 Beach St Ste B1 Boston, MA 02111",14,6,4,2,1,"10:30 am - 10:00 pm","10:30 am - 10:00 pm","10:30 am - 10:00 pm","10:30 am - 10:00 pm","10:30 am - 10:00 pm","10:30 am - 10:00 pm","10:30 am - 10:00 pm",1,0,0,0,0,1,1,1,1,4.11111111111111,27,0.369333111111111
"277",28,"Liquid Art House","American (New)","100 Arlington St Boston, MA 02116",60,54,34,24,13,"5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","24","",1,0,0,1,0,1,0,1,1,3.67027027027027,185,-0.07150772972973
"278",28,"Egg Puffs","Desserts","42 Beach St Boston, MA 02111",71,38,17,4,4,"11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm","11:00 am - 7:00 pm",0,0,0,0,0,0,0,1,0,4.25373134328358,134,0.511953343283582
"279",28,"Outlook Kitchen And Bar","American (New)","70 Sleeper St Boston, MA 02210",18,6,6,4,1,"6:30 am - 11:00 pm","6:30 am - 11:00 pm","6:00 am - 11:00 pm","6:30 am - 11:00 pm","6:30 am - 11:00 pm","6:30 am - 11:00 pm","6:30 am - 11:00 pm",1,1,0,1,1,1,0,0,1,4.02857142857143,35,0.286793428571428
"280",28,"The Sevens Ale House","Pub","77 Charles St Boston, MA 02114",39,67,36,24,12,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","12:00 pm - 1:00 am",0,1,1,1,0,0,0,1,1,3.54494382022472,178,-0.196834179775281
"281",29,"TR Street Foods","American (New)","343 Congress St Fort Point Boston, MA 02210",9,6,3,1,0,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed","Closed",1,1,0,1,0,0,0,1,1,4.21052631578947,19,0.468748315789473
"282",29,"Uptown Cafe","Italian","120 Cambridge St Boston, MA 02114",22,19,8,5,5,"10:00 am - 7:00 pm","10:00 am - 7:00 pm","10:00 am - 7:00 pm","10:00 am - 7:00 pm","10:00 am - 7:00 pm","11:00 am - 6:00 pm","Closed",1,0,1,0,0,0,0,1,1,3.8135593220339,59,0.0717813220338983
"283",29,"Crudo","Japanese","78 Salem St Boston, MA 02113",27,22,10,6,4,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 11:00 pm",1,1,0,1,0,1,0,1,1,3.89855072463768,69,0.156772724637681
"284",29,"Back Bay HarryÕs","American (New)","142 Berkeley St Boston, MA 02116",32,52,23,16,13,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","5:00 pm - 2:00 am","11:00 am - 12:00 am",1,1,0,1,0,1,0,1,1,3.54411764705882,136,-0.197660352941177
"285",29,"MarioÕs Restaurant","Italian","347 Chelsea St Boston, MA 02128",45,16,4,4,3,"11:30 am - 2:00 pm 5:00 pm - 9:00 pm","11:30 am - 2:00 pm 5:00 pm - 9:00 pm","11:30 am - 2:00 pm 5:00 pm - 9:00 pm","11:30 am - 2:00 pm 5:00 pm - 9:00 pm","11:30 am - 2:00 pm 5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","Closed",0,0,0,1,0,1,0,1,1,4.33333333333333,72,0.591555333333333
"286",29,"Ocean Prime","Seafood","140 Seaport Blvd Boston, MA 02210",27,14,10,6,0,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 9:00 pm",0,1,0,1,1,1,0,0,1,4.08771929824561,57,0.345941298245614
"287",29,"MamaÕs Place","Greek","764 Huntington Ave Boston, MA 02115",48,28,19,9,16,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","Closed",0,0,0,0,0,0,1,1,1,3.69166666666667,120,-0.0501113333333332
"288",29,"Chef ChangÕs on Back Bay","Szechuan","30 Massachusetts Ave Boston, MA 02115",20,17,7,4,7,"Closed","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,1,0,1,1,1,1,3.70909090909091,55,-0.0326870909090911
"289",29,"Committee","Mediterranean","50 Northern Ave Boston, MA 02210",40,18,17,14,7,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 2:00 am","11:30 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 11:00 pm",0,1,1,1,1,1,1,1,1,3.72916666666667,96,-0.0126113333333335
"290",29,"Douzo","Sushi Bars","131 Dartmouth St Boston, MA 02116",215,316,140,64,32,"11:30 am - 11:30 pm","11:30 am - 11:30 pm","11:30 am - 11:30 pm","11:30 am - 11:30 pm","11:30 am - 11:30 pm","11:30 am - 11:30 pm","11:30 am - 11:30 pm",0,1,0,1,0,1,0,1,1,3.80573663624511,767,0.0639586362451108
"291",30,"Amrheins","Modern American","80 W Broadway Boston, MA 02127",74,103,74,38,32,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","10:00 am - 1:00 am",0,1,0,1,1,1,0,1,1,3.46417445482866,321,-0.27760354517134
"292",30,"ZitiÕs Italian Express","Pizza","140 Tremont St Boston, MA 02111",20,12,4,7,4,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","12:00 pm - 10:00 pm",0,1,0,1,0,0,1,1,1,3.78723404255319,47,0.0454560425531914
"293",30,"The Merchant","Modern American","60 Franklin St Boston, MA 02110",41,51,46,24,13,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","10:30 am - 2:00 am",1,1,1,1,0,1,0,1,1,3.47428571428571,175,-0.267492285714286
"294",30,"Boston Pizza Grill","Pizza","535 Columbia Rd Boston, MA 02125",19,5,1,0,1,"10:00 am - 12:00 am","10:00 am - 12:00 am","10:00 am - 12:00 am","10:00 am - 12:00 am","10:00 am - 1:00 am","10:00 am - 1:00 am","10:00 am - 12:00 am",1,1,0,0,1,0,1,1,1,4.57692307692308,26,0.835145076923077
"295",30,"Estragon","Tapas Bars","700 Harrison Ave Boston, MA 02118",87,145,81,26,16,"5:00 pm - 10:30 pm","5:00 pm - 10:30 pm","5:00 pm - 10:30 pm","5:00 pm - 10:30 pm","5:00 pm - 10:30 pm","5:00 pm - 10:30 pm","Closed",0,1,0,1,1,1,0,0,1,3.73521126760563,355,-0.00656673239436634
"296",30,"Piccolo Nido","Italian","247 North St Boston, MA 02113",45,25,6,5,13,"4:00 pm - 10:00 pm","4:00 pm - 10:00 pm","4:00 pm - 10:00 pm","4:00 pm - 10:00 pm","4:00 pm - 11:00 pm","24","",0,0,0,1,0,1,0,0,1,3.8936170212766,94,0.151839021276596
"297",30,"Pita","Mediterranean","197A Massachusetts Ave Boston, MA 02115",37,24,9,3,7,"10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm",0,0,0,0,1,0,1,1,1,4.0125,80,0.270722
"298",30,"Quattro","Pizza","264 Hanover St Boston, MA 02113",61,60,30,30,17,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 11:00 pm",1,1,0,1,0,1,0,1,1,3.5959595959596,198,-0.145818404040404
"299",30,"Mangia Mangia","Italian","147 Endicott St Boston, MA 02113",12,10,5,0,0,"6:00 am - 3:30 pm","6:00 am - 3:30 pm","6:00 am - 3:30 pm","6:00 am - 3:30 pm","6:00 am - 3:30 pm","Closed","Closed",0,0,0,0,0,0,0,1,0,4.25925925925926,27,0.517481259259259
"300",30,"Ma Maison","French","272 Cambridge St Boston, MA 02114",11,9,1,4,1,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","Closed",1,0,0,1,0,1,0,1,1,3.96153846153846,26,0.219760461538462
"301",31,"sweetgreen","Salad","659 Boylston St Boston, MA 02116",167,120,35,24,21,"10:30 am - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:30 pm","10:30 am - 10:30 pm",0,0,0,0,1,0,0,1,1,4.05722070844687,367,0.315442708446867
"302",31,"El Centro","Mexican","472 Shawmut Ave Boston, MA 02118",50,90,33,28,21,"11:00 am - 3:00 pm 5:00 pm - 11:00 pm","11:00 am - 3:00 pm 5:00 pm - 11:00 pm","11:00 am - 3:00 pm 5:00 pm - 11:00 pm","11:00 am - 3:00 pm 5:00 pm - 11:00 pm","11:00 am - 3:00 pm 5:00 pm - 11:00 pm","10:00 am - 3:00 pm 5:00 pm - 11:00 pm","10:00 am - 3:00 pm 5:00 pm - 11:00 pm",0,0,0,1,0,0,0,1,1,3.54054054054054,222,-0.20123745945946
"303",31,"Asian House Restaurant","Asian Fusion","99 Cambridge St Boston, MA 02129",34,19,6,2,6,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm",0,0,0,0,0,0,1,1,1,4.08955223880597,67,0.34777423880597
"304",31,"Summer Shack","Seafood","50 Dalton St Boston, MA 02115",87,161,108,58,48,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,1,0,1,0,1,0,1,1,3.39177489177489,462,-0.350003108225108
"305",31,"StephanieÕs On Newbury","Modern American","190 Newbury St Boston, MA 02116",145,336,245,181,102,"7:30 am - 12:00 am","7:30 am - 12:00 am","7:30 am - 12:00 am","7:30 am - 1:00 am","7:30 am - 1:00 am","9:00 am - 1:00 am","9:00 am - 11:00 pm",1,1,0,1,1,1,0,1,1,3.2388503468781,1009,-0.502927653121903
"306",31,"Gather","American (New)","75 Northern Ave Boston, MA 02210",45,77,28,30,15,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","12:00 pm - 11:00 pm",1,1,1,1,1,1,0,1,1,3.54871794871795,195,-0.193060051282052
"307",31,"La Cancun","Mexican","192 Sumner St Boston, MA 02128",21,18,13,2,2,"8:30 am - 11:30 pm","8:30 am - 11:30 pm","8:30 am - 11:30 pm","8:30 am - 11:30 pm","8:30 am - 11:30 pm","8:30 am - 11:30 pm","8:30 am - 11:30 pm",0,1,0,1,0,0,1,1,1,3.96428571428571,56,0.222507714285714
