"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"891",90,"Moko Japanese Cuisine","Japanese","674 E Broadway Boston, MA 02127",27,25,11,11,9,"4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 12:00 am","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm",1,1,0,1,0,1,1,1,1,3.60240963855422,83,-0.139368361445783
"892",90,"Bravo","American (New)","The Museum Of Fine Arts 465 Huntington Ave Boston, MA 02116",9,17,6,9,8,"null","null","null","null","null","null","null",0,0,0,1,1,1,0,0,1,3.20408163265306,49,-0.537696367346939
"893",90,"Crazy DoughÕs Pizza","Pizza","1124 Boylston St Boston, MA 02215",41,65,37,16,11,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 9:00 pm",0,1,0,1,1,0,1,1,1,3.64117647058824,170,-0.100601529411765
"894",90,"Blue State Coffee","Coffee & Tea","957 Commonwealth Ave Boston, MA 02215",52,52,25,11,5,"7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","8:00 am - 10:00 pm","8:00 am - 10:00 pm",1,0,0,0,0,0,0,1,1,3.93103448275862,145,0.189256482758621
"895",90,"Forty Dalton","American (Traditional)","40 Dalton St Boston, MA 02115",2,1,9,3,2,"6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 12:00 am","7:00 am - 12:00 am","7:00 am - 12:00 am",1,1,0,1,0,0,0,1,1,2.88235294117647,17,-0.859425058823529
"896",90,"Greenlight Cafe","Delis","560 Harrison Ave Boston, MA 02118",4,7,5,5,2,"7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","7:00 am - 5:00 pm","Closed","Closed",1,0,0,0,0,0,0,1,1,3.26086956521739,23,-0.480908434782609
"897",90,"BBQsmith","Market Stall","Surface Rd & Beach St Boston, MA 02111",5,10,11,2,0,"null","null","null","null","null","null","null",0,0,0,0,1,0,0,1,1,3.64285714285714,28,-0.0989208571428573
"898",90,"Casserole Cafe","Cafe","1 Hamilton Pl Boston, MA 02108",1,4,2,1,0,"null","null","null","null","null","null","null",0,0,1,0,0,0,0,1,1,3.625,8,-0.116778
"899",90,"Refuge Cafe","Cafe","155 Brighton Ave Boston, MA 02134",22,63,44,32,30,"7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 6:00 pm",1,0,0,1,0,0,0,1,1,3.07853403141361,191,-0.663243968586388
"900",90,"Thirst Juice Co","Vegetarian","44 School St Boston, MA 02108",20,7,7,3,3,"7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","7:00 am - 7:00 pm","10:00 am - 4:00 pm","10:00 am - 4:00 pm",0,0,0,0,0,0,0,1,1,3.95,40,0.208222
"901",91,"Che-ChiÕs","Food Stands","Landsdown St. Boston, MA 02215",2,2,0,1,0,"null","null","null","null","null","null","null",0,0,0,0,0,0,0,1,0,4,5,0.258222
"902",91,"High Spot Deli","Delis","10 Beacon St Boston, MA 02108",9,18,7,2,0,"7:00 am - 4:00 pm","7:00 am - 4:00 pm","7:00 am - 4:00 pm","7:00 am - 4:00 pm","7:00 am - 4:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,3.94444444444444,36,0.202666444444445
"903",91,"Cosi","Sandwiches","14 Milk St Boston, MA 02108",7,24,17,8,5,"8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 8:00 pm",1,0,0,0,0,0,0,1,1,3.32786885245902,61,-0.413909147540984
"904",91,"Charles River Bread","Sandwiches","BU Union Food Ct 775 Commonwealth Ave Boston, MA 02116",1,2,0,0,0,"null","null","null","null","null","null","null",0,1,0,0,1,0,0,1,0,4.33333333333333,3,0.591555333333333
"905",91,"UNI","Sushi Bars","370 Commonwealth Ave Boston, MA 02215",87,66,30,31,24,"5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 1:30 am","5:30 pm - 1:30 am","5:30 pm - 1:30 am","5:30 am - 10:00 pm",0,0,0,1,0,1,0,0,1,3.67647058823529,238,-0.0653074117647061
"906",91,"Pret A Manger","Cafes","417 Brookline Ave Boston, MA 02215",4,1,2,0,2,"null","null","null","null","null","null","null",0,0,0,0,1,0,0,1,1,3.55555555555556,9,-0.186222444444445
"907",91,"Freshii","Salad","185 Dartmouth St Boston, MA 02116",18,10,7,6,3,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","8:00 am - 7:00 pm","11:00 am - 6:00 pm",1,0,0,0,0,0,1,1,1,3.77272727272727,44,0.0309492727272729
"908",91,"HennessyÕs","Bars","25 Union St Boston, MA 02108",23,54,61,34,35,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",1,1,1,1,0,1,0,1,1,2.98067632850242,207,-0.761101671497585
"909",91,"McGreevyÕs","Sports Bars","911 Boylston St Boston, MA 02115",53,71,51,27,32,"11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","10:00 am - 2:00 am","10:00 am - 2:00 am",1,1,1,1,0,0,0,1,1,3.36752136752137,234,-0.374256632478633
"910",91,"Venezia","Venues & Event Spaces","20 Ericsson St Boston, MA 02122",27,31,21,20,19,"11:30 am - 3:00 pm 5:00 pm - 9:30 pm","11:30 am - 3:00 pm 5:00 pm - 9:30 pm","11:30 am - 3:00 pm 5:00 pm - 9:30 pm","11:30 am - 3:00 pm 5:00 pm - 9:30 pm","11:30 am - 3:00 pm 5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","4:00 pm - 9:00 pm",0,0,0,1,0,1,0,0,1,3.22881355932203,118,-0.512964440677966
"911",92,"SalÕs Pizza","Pizza","51 Brookline Ave Boston, MA 02215",7,3,0,2,1,"11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm",0,1,0,1,0,0,1,1,1,4,13,0.258222
"912",92,"MMMac & Cheese","Traditional American","Quincy Market Building 1 Faneuil Hall Marketplace Boston, MA 02109",30,43,23,11,12,"9:00 am - 9:00 pm","9:00 am - 9:00 pm","9:00 am - 9:00 pm","9:00 am - 9:00 pm","9:00 am - 9:00 pm","9:00 am - 9:00 pm","9:00 am - 6:00 pm",0,0,1,0,1,0,0,1,1,3.57142857142857,119,-0.170349428571428
"913",92,"Great Chef Chinese Food Day Square","Chinese","390 Chelsea St Boston, MA 02128",2,8,2,6,5,"10:30 am - 3:00 am","10:30 am - 3:00 am","10:30 am - 3:00 am","10:30 am - 3:00 am","10:30 am - 3:00 am","10:30 am - 3:00 am","10:30 am - 3:00 am",0,0,0,0,0,0,1,1,1,2.82608695652174,23,-0.915691043478261
"914",92,"Pollo Campero","Latin American","188 Border St Boston, MA 02128",5,13,4,3,1,"null","null","null","null","null","null","null",0,0,0,0,0,0,0,1,1,3.69230769230769,26,-0.0494703076923075
